CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-19-COT25;50101539;Verduras congeladas;Choclo en trozos 500 grs;3;BG
1057532-19-COT25;50112003;Carnes estables sin refrigerar procesadas y preparadas;Guatita  -Porcionada en bolsas de 1 kilo;2;KGM
1057532-19-COT25;50131701;Leche o productos de mantequilla;Mantequilla 125 grs;7;EA
1057532-19-COT25;50111510;Carne de ave o carne fresca;Pechuga de Pollo Deshuesada de kilo;4;KGM
1057532-19-COT25;50101539;Verduras congeladas;Pimiento congelado 500 grs;3;BG
1057532-19-COT25;50112001;Carnes frescas procesadas y preparadas;Pulpa de Cerdo -Porcionada en bolsas de 1 kilo;3;KGM
1057532-19-COT25;50111510;Carne de ave o carne fresca;Truto corto de Pollo de kilo;2;KGM
1057532-19-COT25;50131803;Sucedáneo de Queso;Queso Crema;14;EA
1057532-19-COT25;50171833;Paté u otras pastas para untar;Pate (diferentes);16;EA
1057532-19-COT25;50101539;Verduras congeladas;Habas Congeladas 500 grs;2;BG
1057532-19-COT25;50112002;Carnes congeladas procesadas y preparadas;Vienesas paquete de 20 unidades.;3;PK
1057532-19-COT25;50112001;Carnes frescas procesadas y preparadas;Abastero Vacuno Porcionada en bolsas de 1 kilo;4;KGM
1057532-19-COT25;50101539;Verduras congeladas;Arvejas Verdad de 500 grs;3;BG
1057532-19-COT25;50112003;Carnes estables sin refrigerar procesadas y preparadas;Carne molida Vacuno -Porcionada en bolsas de ½ kilo;3;KGM
1057532-19-COT25;50112001;Carnes frescas procesadas y preparadas;Cazuela Vacuno kilo;4;KGM
1057532-19-COT25;50101539;Verduras congeladas;Choclo desgranado 500 grs;4;BG
1057532-19-COT25;50112003;Carnes estables sin refrigerar procesadas y preparadas;Chorizos por kilos;2;KGM
1057532-19-COT25;50112003;Carnes estables sin refrigerar procesadas y preparadas;Chuleta vetada de cerdo por kilo;6;KGM
1057532-19-COT25;50131606;Huevos frescos;Huevos, Bandeja de 30 unid.;4;BAN
1057532-19-COT25;50112001;Carnes frescas procesadas y preparadas;Osobuco  -Proporcionado en bolsas de 1 kilo;4;KGM
1057532-19-COT25;50111510;Carne de ave o carne fresca;Pechuga laminada  Ahumada de pavo/ 150 grs o sachet;2;SACH
1057532-19-COT25;50112002;Carnes congeladas procesadas y preparadas;Prietas kilo;4;KGM
1057532-19-COT25;50101539;Verduras congeladas;Primavera 500 grs;3;BG
1057532-19-COT25;50131801;Queso natural;Queso Laminado de 500 grs;1;EA
1057532-19-COT25;50192303;Postres, helados o yogurt congelado;Yogurt sin Lactosa de litro;24;BG
1057532-19-COT25;50131802;Queso rallado;Queso rallado en bolsa de 125 grs;2;BG
1057532-19-COT25;50201714;Cremas no lácteas;Tarro de Crema 236 grs;2;JR
1057532-19-COT25;50112002;Carnes congeladas procesadas y preparadas;Hamburguesas de vacuno 185 grs;18;EA
