CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OC_Estado;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057532-23-COT26;F1-567-MAR ADQUISICION DE PAÑUELOS DESECHABLES.;ADQUISICION DE PAÑUELOS DESECHABLES.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-01-22 10:10;2026-01-23 10:34;2026-01-21 09:45;2026-01-22 10:10;2026-01-22 12:40;;MANUEL RODRIGUEZ 759 OSORNO;8;Estimado;CLP;180000;180000;180000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;8;0;;;False;True;1;1;8
1057532-24-COT26;F1-567-MAR ADQUISICION  DE UN PORTA FOLLETOS.;ADQUISICION  DE UN PORTA FOLLETOS.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-01-22 10:20;2026-01-23 10:48;2026-01-21 09:51;2026-01-22 10:20;2026-01-22 12:35;;MANUEL RODRIGUEZ 759 OSORNO.;8;Estimado;CLP;80000;80000;80000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;2;0;;;False;True;1;1;2
1057532-27-COT26;F1-568-MAR ADQUISICION DE PRODUCTOS ALIMENTICIOS.;ADQUISICION DE PRODUCTOS ALIMENTICIOS.;6;desierta;Desierta;1;Primer llamado;2026-01-22 10:35;2026-01-23 10:50;2026-01-21 10:19;2026-01-22 10:35;2026-01-22 12:14;;MANUEL RODRIGUEZ 759;8;Estimado;CLP;68000;68000;68000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;2;0;;no se cumplen las especificaciones tecnicas;False;True;1;2;2
1057532-22-COT26;F1-568-MAR  ADQUISICION DE GALVANOS.;ADQUISICION DE GALVANOS.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-01-22 09:30;2026-01-23 10:12;2026-01-21 08:47;2026-01-22 09:30;2026-01-22 10:34;;MANUEL RODRIGUEZ 759 OSORNO.;8;Estimado;CLP;375000;375000;375000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;8;0;;;False;True;1;2;8
1057532-17-COT26;F1-564-MAR ADQUISICION DE LENTES.;ADQUISICION DE LENTES.;4;proveedor_seleccionado;Proveedor seleccionado;2;Segundo llamado;2026-01-19 07:00;2026-01-22 00:15;2026-01-16 14:25;2026-01-22 00:15;2026-01-22 09:44;;MANUEL RODRIGUEZ 759 OSORNO;8;Disponible;CLP;500000;500000;500000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;6;0;;;False;True;1;2;6
1057532-20-COT26;F1-566-MAR ADQUISICION DE MATERIALES PARA PROMOCION DE SALUD MENTAL.;ADQUISICION DE MATERIALES PARA PROMOCION DE SALUD MENTAL.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-01-22 07:00;2026-01-23 23:39;2026-01-20 14:20;2026-01-22 07:00;2026-01-22 08:39;;MANUEL RODRIGUEZ 759 OSORNO;8;Estimado;CLP;449000;449000;449000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;2;0;;;False;True;1;16;2
1057532-13-COT26;F1-565-NAM / TERMOLAMINADORA;SE REQUIERE LA COMPRA DE TERMOLAMINADORA  1) Serán desestimadas las ofertas que no adjunten el Formularios Anexo Proveedor.  2) Adjuntar cotización detallada + imágenes de productos ofertados (archivo proveedor), según especificaciones técnicas adjuntadas  3) Debe indicar en días hábiles el plazo de envió, dado que se tomará como parte de evaluación de adjudicación;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-01-16 08:00;2026-01-17 22:03;2026-01-14 17:56;2026-01-16 08:00;2026-01-22 03:47;;Av. Manuel Rodriguez #759;5;Estimado;CLP;45000;45000;45000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;11;0;;;False;False;1;1;11
1057532-26-COT26;F1-570-NAM / ARTÍCULOS DE BIENESTAR Y OFICINA;SE REQUIERE LA COMPRA DE ARTICULOS DE BIENESTAR Y OFICINA SEGUN EE.TT.  1) Serán desestimadas las ofertas que no adjunten el Formularios Anexo Proveedor.  2) Adjuntar cotización detallada + imágenes de productos ofertados (archivo proveedor), según especificaciones técnicas adjuntadas  3) Debe indicar en días hábiles el plazo de envió, dado que se tomará como parte de evaluación de adjudicación;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-01-22 14:00;2026-01-23 16:41;2026-01-21 11:18;2026-01-22 14:00;2026-01-22 03:29;;Av. Manuel Rodriguez #759;3;Estimado;CLP;96000;96000;96000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;False;False;2;4;2
1057532-925-COT25;F2-388-NAM / Contratación Plan Fibra, Trio: Internet + TV con Deco + Telefonía Hogar por 12 meses (Enero - Diciembre 2026);Se requiere la contratación de Servicio de Internet Fibra + TV con Deco + telefonía Hogar (1) para Dispositivo Peulla Residencial. El Formulario de Especificaciones Técnicas es OBLIGATORIO;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-12-15 08:00;2025-12-19 00:13;2025-12-11 15:46;2025-12-15 08:00;2026-01-22 02:18;;a convenir;5;Estimado;CLP;720000;720000;720000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;1;0;;;False;False;1;1;1
1057532-936-COT25;F3-91-RUA/Adquisición de Tensiómetros y manguitos;"Se requiere la compra de Tensiómetros y manguitos los cuales deben estar validados como ""Monitor de presión arterial de uso profesional"" de acuerdo a Ord. B23N°4902 de la Subsecretaria de Salud Pública - Subsecretaria de Redes Asistenciales de Chile.";5;cancelada;Cancelada;2;Segundo llamado;2025-12-18 16:00;2025-12-22 10:00;2025-12-17 15:25;2025-12-22 10:00;2026-01-22 00:00;2026-01-22 00:00;Avda. Manuel Rodriguez N°759;5;Disponible;CLP;6600000;6600000;6600000;;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;3;0;Cancelada automáticamente por vencimiento del plazo de selección;;False;False;2;1;3
