CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-120-COT26;90101701;Gestión de cafetería;Servicio de cafetería para Jornada, 2 días, para 20 personas, los días Lunes 06 y Martes 07 de abril de 2026, en Sala de Capacitación ubicada en Av. Manuel Rodriguez 759, Osorno. Jornadas AM y PM. Realizar una jornada de inducción para los profesionales funcionarios de la Ley 19.664, que iniciaron el Periodo Asistencia Obligatorio e ingresan a la Etapa de Destinación y Formación.;80;EA
1057532-100-COT26;72102602;Instalación de ventanas, puertas o accesorios;Adquisición y servicio de instalación de tres (3) mallas mosquiteras para ventanas./ Según Especificaciones adjuntas.;3;EA
1057532-118-COT26;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Martes 07 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Jornada de actualización de conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria, en contexto de preparación de Campaña de Invierno.;100;EA
1057532-117-COT26;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Lunes 06 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Actualizar conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria de la provincia de Osorno, en contexto de preparación de Campaña de Invierno.;100;EA
1057532-110-COT26;44121708;Marcadores;plumones de pizarra color negro;40;EA
1057532-110-COT26;44121708;Marcadores;plumones de pizarra color azul;40;EA
1057532-110-COT26;44121708;Marcadores;plumones de pizarra color rojo;40;EA
1057532-110-COT26;44121708;Marcadores;plumones de pizarra color verde;40;EA
1057532-110-COT26;44121618;Tijeras;tijeras multiuso 7 ½;30;EA
1057532-110-COT26;44122011;Carpetas para archivos;carpeta de cartulina española;40;EA
1057532-110-COT26;31201517;Cinta para empaquetar;cintas masking tape 48 mm;40;EA
1057532-110-COT26;55121616;Banderitas autoadhesivas;set de pos it colores 400 hojas;15;EA
1057532-110-COT26;44121708;Marcadores;marcadores jumbo 12 unidades;40;BX
1057532-110-COT26;44121701;Lápiz pasta;caja de 50 lápices pasta azul.;8;BX
1057532-110-COT26;60124317;Masa de modelado;set de 6 masas para modelar diferentes colores.;15;PACK
1057532-110-COT26;60121124;Papel kraft;Papel kraft;350;PGL
1057532-110-COT26;60105704;Barras de pegamento libres de ácido;Pegamento en barra 21 gramos.;70;EA
1057532-110-COT26;44121708;Marcadores;destacadores de diferentes colores;50;EA
1057532-110-COT26;44121707;Lápices de colores;lápices de madera (12 colores);30;BX
1057532-110-COT26;60124317;Masa de modelado;plastilina (12 colores);5;BX
1057532-110-COT26;60121148;Papel lustre;10 block de papel lustre, tamaño 16x16;5;PACK
1057532-110-COT26;14111525;Papel multiuso;Opalina tamaño carta;4;PACK
1057532-110-COT26;60121109;Blocs de dibujo;block de dibujo medium 99 ¼ (37,5x53,5 cm);5;EA
1057532-110-COT26;60123601;Pegamento de purpurina;tubos de pegamento glitter glue (diferentes colores) (6x10 ml);15;EA
1057532-110-COT26;11151701;Hilo de lana;set de 10 ovillos de lana 10 grs. Diferentes colores.;15;PACK
1057532-110-COT26;44101801;Calculadoras o accesorios;calculadora 12 digitos;2;EA
1057532-110-COT26;12352310;Siliconas;barras de silicona;100;EA
1057532-110-COT26;46101504;Pistolas;Pistola de silicona;3;EA
1057532-110-COT26;44121708;Marcadores;Marcador Sharpie.;15;EA
1057532-110-COT26;55121616;Banderitas autoadhesivas;Banderas adhesivas colores.;30;EA
1057532-119-COT26;90101701;Gestión de cafetería;4 Servicios de cafetería en jornadas AM para capacitación de formación facilitadores Nadie es perfecto, para 15 personas, desde el 14 al 17 de Abril 2026. Se adjuntan Especificaciones del servicio.;60;EA
1057532-121-COT26;44121708;Marcadores;plumones de pizarra color negro;40;EA
1057532-121-COT26;44121708;Marcadores;plumones de pizarra color azul;40;EA
1057532-121-COT26;44121708;Marcadores;plumones de pizarra color rojo;40;EA
1057532-121-COT26;44121708;Marcadores;plumones de pizarra color verde;40;EA
1057532-121-COT26;44121618;Tijeras;tijeras multiuso 7 ½;30;EA
1057532-121-COT26;44122011;Carpetas para archivos;carpeta de cartulina española;40;EA
1057532-121-COT26;31201517;Cinta para empaquetar;cintas masking tape 48 mm;40;EA
1057532-121-COT26;55121616;Banderitas autoadhesivas;set de pos it colores 400 hojas;15;EA
1057532-121-COT26;44121708;Marcadores;marcadores jumbo 12 unidades;40;BX
1057532-121-COT26;44121701;Lápiz pasta;caja de 50 lápices pasta azul.;8;BX
1057532-121-COT26;60121124;Papel kraft;Papel Kraft;350;PGL
1057532-121-COT26;60105704;Barras de pegamento libres de ácido;Pegamento en barra 21 gramos.;70;EA
1057532-121-COT26;44121708;Marcadores;destacadores de diferentes colores;50;EA
1057532-121-COT26;44121707;Lápices de colores;lápices de madera (12 colores);30;BX
1057532-121-COT26;60124317;Masa de modelado;plastilina (12 colores);5;BX
1057532-121-COT26;60121148;Papel lustre;10 block de papel lustre, tamaño 16x16;5;PACK
1057532-121-COT26;14111525;Papel multiuso;Opalina tamaño carta;4;PACK
1057532-121-COT26;60121109;Blocs de dibujo;block de dibujo medium 99 ¼ (37,5x53,5 cm);5;EA
1057532-121-COT26;60123601;Pegamento de purpurina;tubos de pegamento glitter glue (diferentes colores) (6x10 ml);15;EA
1057532-121-COT26;11151701;Hilo de lana;set de 10 ovillos de lana 10 grs. Diferentes colores.;15;PACK
1057532-121-COT26;44121708;Marcadores;Marcador Sharpie.;15;EA
1057532-121-COT26;55121616;Banderitas autoadhesivas;Banderas adhesivas colores.;30;EA
1057532-124-COT26;50161813;Dulces de chocolate o sustitutos;Chocolate tipo Bon o Bon de 30 unidades por caja.;3;BX
1057532-124-COT26;50161814;Dulces con azúcar o sustitutos;Gomitas dulces tipo Frugelé de 50 unidades por bolsa.;2;BG
1057532-123-COT26;14111610;Cartulina;Cartulina color blanco.;20;PGL
1057532-123-COT26;44121708;Marcadores;Set de 24 marcadores de colores tipo Sharpie.;3;PACK
1057532-123-COT26;31201605;Masillas;Caja de Masilla tipo Uhu Patafix.;3;BX
1057532-123-COT26;55121606;Etiquetas autoadhesivas;Pack de Etiquetas adhesivas para distintivos.;1;PACK
1057532-123-COT26;60121124;Papel kraft;Papel Kraft;20;PGL
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CPS. Cuestionario de Personalidad situacional Kit de Corrección (25 hojas de respuestas, pin 25 usos);10;KIT
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CompeTEA. Evaluación de competencias. Kit de Corrección (25 hojas de respuestas, pin 25 usos);22;KIT
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Juego completo (Manual, 10 cuadernillos, Kit corrección 25 usos);1;KIT
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Kit de Corrección (25 hojas de respuestas, pin 25 usos);14;KIT
1057532-128-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;20;EA
1057532-128-COT26;50192801;Empanadas, tartas y pies frescos;kuchen tamaño para 20 personas;1;EA
1057532-128-COT26;52151502;Platos desechables domésticos;platos desechables chicos (18 cm diámetro aprox.);30;EA
1057532-128-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;3;PK
1057532-128-COT26;50181909;Galletas saladas;galletas saladas (variedades).;6;PK
1057532-128-COT26;50221202;Cereales en barra;barras de cereal sabor frutos rojos.;20;EA
1057532-127-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;60;EA
1057532-127-COT26;50101634;Fruta fresca;Naranjas frescas.;35;EA
1057532-127-COT26;50101634;Fruta fresca;Manzanas frescas.;35;EA
1057532-127-COT26;50192801;Empanadas, tartas y pies frescos;Kuchen tamaño para 20 personas;1;EA
1057532-127-COT26;14111703;Toallas de papel;toalla de papel de 100 metros.;1;EA
1057532-127-COT26;52151502;Platos desechables domésticos;platos desechables chicos (18 cm diámetro aprox.);30;EA
1057532-127-COT26;50201709;Café instantáneo;tarro de café de 400 gramos.;1;JR
1057532-127-COT26;50201713;Bolsitas de te;caja de té de 100 unidades.;1;BX
1057532-127-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;3;PK
1057532-127-COT26;50181909;Galletas saladas;galletas saladas (variedades).;6;PK
1057532-127-COT26;50131701;Leche o productos de mantequilla;litro de leche.;1;LTR
1057532-126-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales, de marca reconocida). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;20;EA
1057532-126-COT26;50101634;Fruta fresca;Naranjas Frescas.;10;EA
1057532-126-COT26;50101634;Fruta fresca;Manzanas Frescas.;10;EA
1057532-126-COT26;52151504;Tazas o vasos desechables domésticos;vasos de polipapel de 250 cc.;100;EA
1057532-126-COT26;52151704;Cucharas domésticas;cucharas (aprox. 15 cm) – 1 bolsa de 100 unidades.;100;EA
1057532-126-COT26;50202310;Agua mineral;agua mineral de 1,6 litros.;2;BO
1057532-126-COT26;50161509;Productos de edulcorantes o azúcares naturales;kilo de azúcar (marca reconocida).;1;KGM
1057532-126-COT26;50201709;Café instantáneo;Café de 400 gramos.;1;JR
1057532-126-COT26;50161509;Productos de edulcorantes o azúcares naturales;endulzante líquido de 350 ml (tapa verde).;1;BO
1057532-126-COT26;50201713;Bolsitas de te;caja de té normal de 100 unidades.;1;BX
1057532-126-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;11;PK
1057532-126-COT26;50181909;Galletas saladas;galletas saladas (variedades).;4;PK
1057532-126-COT26;50192110;Nueces o frutos secos;mix de frutos secos (referencia: bolsas tipo mix energía Bri Snacks de 30 gramos).;50;EA
1057532-126-COT26;50131701;Leche o productos de mantequilla;litro de leche.;1;LTR
