CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057532-120-COT26;F1-127-DCR/Servicio de Cafetería para Jornada de Inducción PAO y EDF año 2026;Se requiere servicio de cafetería para Jornada, 2 días, para 20 personas, los días Lunes 06 y Martes 07 de abril de 2026, en Sala de Capacitación ubicada en Av. Manuel Rodriguez 759, Osorno. Jornadas AM y PM. Completar y firmar Formularios. Realizar una jornada de inducción para los profesionales funcionarios de la Ley 19.664, que iniciaron el Periodo Asistencia Obligatorio e ingresan a la Etapa de Destinación y Formación.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-04-01 12:30;2026-04-02 12:50;2026-03-31 12:09;2026-04-01 12:30;2026-04-01 16:05;;Av. Manuel Rodriguez 759 - Sala de Capacitación.;2;Estimado;CLP;400000;400000;400000;;;54578860;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;2;1;1
1057532-100-COT26;F1-58-DCR/Adquisición e Instalación de 3 Mallas Mosquiteras/ CT PEULLA.;Dar cumplimiento a la normativa sanitaria vigente y a las observaciones realizadas en procesos de fiscalización de la SEREMI de Salud, mediante la adquisición e instalación de malla mosquitera en las ventanas de la CT. Peulla, con el fin de prevenir el ingreso de vectores, resguardar condiciones óptimas de higiene y seguridad sanitaria, y asegurar un ambiente adecuado para el desarrollo de las actividades terapéuticas de las personas en tratamiento. Adjuntar Formularios completados y firmados.;6;desierta;Desierta;2;Segundo llamado;2026-03-19 08:00;2026-03-21 06:41;2026-03-17 11:46;2026-03-21 06:41;2026-04-01 15:25;;A convenir (segun lo señalado en Especificación);3;Estimado;CLP;230000;230000;230000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;Oferentes no cumplen con documentación obligatoria. Se realizara un nuevo llamado.;;False;False;2;1;2
1057532-118-COT26;F1-114-DCR/Servicio de Cafeteria Capacitación Salud Respiratoria en el Curso de Vida/ DARA.;Se requiere servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Martes 07 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Completar y firmar Formularios. Jornada de actualización de conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria, en contexto de preparación de Campaña de Invierno;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-03-31 18:30;2026-04-01 18:36;2026-03-30 18:23;2026-03-31 18:30;2026-04-01 15:00;;Auditorio, Hospital Base San Jose de Osorno;1;Estimado;CLP;690000;690000;690000;;;54577920;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;4;0;;;;False;False;2;1;4
1057532-117-COT26;F2-48-DCR/ Servicio de Cafetería para Capacitación Salud Respiratoria en el Curso de Vida/DAP.;Se requiere servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Lunes 06 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Completar y firmar Formularios. Actualizar conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria de la provincia de Osorno, en contexto de preparación de Campaña de Invierno.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-03-31 18:00;2026-04-01 18:12;2026-03-30 17:47;2026-03-31 18:00;2026-04-01 12:30;;Auditorio, Hospital Base San Jose Osorno.;1;Estimado;CLP;700000;700000;700000;;;54576579;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;3;0;;;;False;False;2;1;3
1057532-110-COT26;F2-49-DCR/Materiales para capacitación Facilitadores Nadie es Perfecto/Programa Chile Crece Contigo.;Adquisición de materiales para realizar capacitación de formación facilitadores Nadie es Perfecto, según Especificaciones adjuntas. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor);6;desierta;Desierta;2;Segundo llamado;2026-03-27 08:30;2026-03-29 00:12;2026-03-25 16:47;2026-03-29 00:12;2026-04-01 08:15;;Av. Manuel Rodriguez 759.;3;Estimado;CLP;856500;856500;856500;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;Se realizará nuevo llamado con modificaciones de referente.;;False;False;2;26;1
1057532-119-COT26;F2-49-DCR/Servicio de Cafeteria para capacitación Facilitadores Nadie es Perfecto/Programa Chile Crece Contigo.;Realizar 4 Servicios de cafetería en jornadas AM para capacitación de formación facilitadores Nadie es perfecto, para 15 personas, desde el 14 al 17 de Abril 2026. Se adjuntan Especificaciones del servicio. Se solicita completar y firmar Formularios adjuntos.;4;proveedor_seleccionado;Proveedor seleccionado;2;Segundo llamado;2026-04-01 12:00;2026-04-02 13:29;2026-03-31 10:30;2026-04-02 13:29;2026-04-02 16:50;;Caja Los Andes;4;Estimado;CLP;360000;360000;360000;;;54587034;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;2;1;1
1057532-121-COT26;F2-49-DCR/Materiales para capacitación Facilitadores Nadie es Perfecto/Programa Chile Crece Contigo.;Adquisición de materiales para realizar capacitación de formación facilitadores Nadie es Perfecto, según Especificaciones adjuntas. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada (documento de proveedor).;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-04-01 15:30;2026-04-02 16:02;2026-03-31 14:57;2026-04-01 15:30;2026-04-02 16:00;;Av. Manuel Rodriguez 759.;3;Estimado;CLP;856500;856500;856500;;;54586326;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;False;False;2;22;2
1057532-124-COT26;F1-140-DCR/Adquisición de Chocolates y Dulces;Contar con la adquisición de Chocolates y dulces para entregar en Jornada de Inducción a profesionales funcionarios Art. 8 de la Ley 19.664 que se incorporan a la red asistencial del Servicio de Salud Osorno. Completar y firmar Formularios adjuntos. Entrega para el día Jueves 02 de abril de 2026.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-04-02 11:30;2026-04-03 11:34;2026-04-01 11:25;2026-04-02 11:30;2026-04-02 15:35;;Av. Manuel Rodriguez 759.;1;Estimado;CLP;30000;30000;30000;;;54585944;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;False;False;2;2;2
1057532-123-COT26;F1-140-DCR/Compra de insumos de libreria para Jornada de Inducción a Profesionales.;Se solicita la adquisición de insumos de librería destinados a la Jornada de Inducción dirigida a profesionales funcionarios contemplados en el Artículo 8° de la Ley N° 19.664 que se incorporan a la Red Asistencial del Servicio de Salud Osorno. Completar y firmar Formularios adjuntos. Entrega para el día Jueves 02 de abril de 2026.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-04-02 11:30;2026-04-03 11:48;2026-04-01 11:11;2026-04-02 11:30;2026-04-02 15:25;;Av. Manuel Rodriguez 759.;1;Estimado;CLP;71000;71000;71000;;;54585842;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;False;False;2;5;2
1057532-122-COT26;F2-58-RVM / TEST PSICOLOGICOS PARA LA UNIDAD DE RECLUTAMIENTO Y SELECCIÓN DEL SERVICIO DE SALUD OSORNO.;ADQUIRIR TEST PSICOLOGICOS PARA LA UNIDAD DE RECLUTAMIENTO Y SELECCION, LOS QUE SERAN UTILIZADOS EN LAS EVALUACIONES PSICOLABORALES DE PROCESOS DE SELECCION DE ANTECEDENTES DE LA RED ASISTENCIAL, Y LOS PROCESOS DE STAFF DE REEMPLAZOS DEL SERVICIO DE SALUD OSORNO. DEBE COMPLETAR Y FIRMAR FORMULARIOS ADJUNTOS;3;cerrada;Cerrada;2;Segundo llamado;2026-04-02 10:30;2026-04-03 10:56;2026-04-01 10:03;2026-04-03 10:56;2026-04-03 11:00;;Manuel Rodríguez #759, Osorno, Región de los Lagos;15;Disponible;CLP;4884290;4884290;4884290;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;3;4;1
