CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057922-134-AG25;1;41104400;Equipamiento para laboratorios / Equipos e insumos para laboratorio / Equipo de incubación para laboratorio;41104423;Incubadoras refrigeradas;INCUBADORA LECTURA RAPIDA SEGUN ESPECIFICACIONES TÉCNICAS ADJUNTAS;INCUBADORA LECTURA RAPIDA  PLAZO DE ENTREGA: 5 DÍAS HÁBILES   GARANTÍA TÉCNICA: 1 AÑO  PAÍS DE FABRICACIÓN: EE.UU.;1.0;;558470.0;0.0;0.0
1057922-30-SE25;1;42251600;Equipamiento y suministros médicos / Productos de rehabilitación, terapia ocupacional y física / Equipo y dispositivos para ejercicios de rehabilitación;42251623;Aparatos de terapia ultrasónica o suministros;EQUIPO TERAPIA COMBINADA, marca Enraf Nonius, modelo  Sonopuls 492, Plazo de entrega al 30.09.2025.;Modelo SONOPULS 492 Marca Enraf;1.0;;5295949.0;0.0;5295949.0
1057922-30-SE25;2;42251600;Equipamiento y suministros médicos / Productos de rehabilitación, terapia ocupacional y física / Equipo y dispositivos para ejercicios de rehabilitación;42251623;Aparatos de terapia ultrasónica o suministros;EQUIPO ULTRASONIDO TERAPÉUTICO, marca Enraf Nonius, modelo Sonopuls 490, Plazo de entrega al 30.09.2025.;Modelo SONOPULS 490 Marca Enraf;1.0;;2946958.0;0.0;2946958.0
1057922-126-SE25;1;42271600;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Productos de comprobación y tratamiento de las funciones pulmonares;42271602;Espirómetros, accesorios o suministros;Espirómetro portátil sobremesa, marca MIR, modelo Spirolab New Touch, 2 mantenciones anuales, Garantía Técnica 36 meses, Plazo de Entrega 60 días corridos.;ESPIROMETRO SPIROLAB NEW TOUCH MIR CON TURBINA REUSABLE Y JERINGA DE CALIBRACION, ACCESORIOS E INSUMOS SEGUN BASES DESPACHO 5 DIAS;2.0;;2099000.0;0.0;4198000.0
1057532-5223-SE25;1;85122100;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Rehabilitación;85122109;Rehabilitación para gente con discapacidades cróni;ADQUISICIÓN DE PRESTACIONES PARA PROGRAMA DE REHABILITACIÓN TIPO II PARA EL SERVICIO DE SALUD OSORNO  CONTRATO APROBADO POR RES. EXENTA N°3930 DEL 14 DE MARZO DE 2025.   -PERIODO: AGOSTO 2025.;ADQUISICIÓN DE PRESTACIONES PARA PROGRAMA DE REHABILITACIÓN TIPO II PARA EL SERVICIO DE SALUD OSORNO  CONTRATO APROBADO POR RES. EXENTA N°3930 DEL 14 DE MARZO DE 2025.   -PERIODO: AGOSTO 2025.;920.0;;18705.0;0.0;17208600.0
1057532-5204-SE25;1;51141700;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Agentes antipsicóticos;51141709;Flufenazina;FLUFENAZINA DECANOATO AM 250 MG/10 ML SOLUCION INYECTABLE;FLFN0250AMPO. FLUFENAZINA DEC.250 MG/10ML F.AMP.. ETHON. FLUFENAZINA. REG ISP F-21521. VCTO 30-07-2027. LOTE 4EB05336 -- 7804633500202;30.0;;12990.0;0.0;389700.0
1057532-5196-AG25;1;50202300;Alimentos, bebidas y tabaco / Bebidas / Bebidas no alcohólicas;50202310;Agua mineral;60 BOTELLAS DE AGUA MINERAL DE 500 CC SIN GAS.;;60.0;;437.0;0.0;0.0
1057532-5228-SE25;1;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO//Días Hogar Protegido – Categoría 2;30.0;;40000.0;0.0;1200000.0
1057532-5228-SE25;2;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO//Días Hogar Protegido – Categoría 1;210.0;;26836.0;0.0;5635560.0
1057532-5033-SE25;1;91111900;Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Cuidado de niños, personas enfermas y ancianos;91111904;Servicios de asistencia puertas adentro;ADQUISICIÓN 5 CUPOS EN ESTABLECIMIENTO DE LARGA ESTADIA DE ADULTO MAYOR (ELEAM);ADQUISICIÓN 5 CUPOS EN ESTABLECIMIENTO DE LARGA ESTADIA DE ADULTO MAYOR (ELEAM);5.0;;850000.0;0.0;4250000.0
1057532-5098-SE25;1;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;recarga CILINDROS DE 6 m3 OXÍGENO;recarga CILINDROS DE 6 m3 OXÍGENO;4.0;;20304.0;0.0;81216.0
1057532-5098-SE25;2;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;Flete por CILINDROS;Flete por CILINDROS;29.0;;8849.0;0.0;256621.0
1057532-5098-SE25;3;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;RECARGA CILINDROS DE 0,4 m3 OXÍGENO;RECARGA CILINDROS DE 0,4 m3 OXÍGENO;25.0;;3384.0;0.0;84600.0
1057922-32-SE25;1;42295400;Equipamiento y suministros médicos / Productos quirúrgicos / Suministros quirúrgicos auxiliares;42295419;Estimuladores quirúrgicos de nervios o accesorios;Electroestimulador TENS, marca Enraf Nonius, modelo Tensmed S82, Plazo de Entrega al 30.09.2025.;Electroestimulador TENS;1.0;;318561.0;0.0;318561.0
1057532-5012-SE25;1;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;recarga CILINDROS DE 6 m3 OXÍGENO;recarga CILINDROS DE 6 m3 OXÍGENO;6.0;;20304.0;0.0;121824.0
1057532-5012-SE25;2;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;Flete por CILINDROS;Flete por CILINDROS;31.0;;8849.0;0.0;274319.0
1057532-5012-SE25;3;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;RECARGA CILINDROS DE 0,4 m3 OXÍGENO;RECARGA CILINDROS DE 0,4 m3 OXÍGENO;25.0;;3384.0;0.0;84600.0
1057532-5016-SE25;1;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;Adquisición 8 cupos Día Hogar Protegido para hombres para el Servicio de Salud Osorno en la Provincia de Osorno” (RES EXENTA N°17422/29.12.2023;Adquisición 8 cupos Día Hogar Protegido para hombres para el Servicio de Salud Osorno en la Provincia de Osorno” (RES EXENTA N°17422/29.12.2023// CATEGORIA 1 (7 usuarios).;217.0;;26582.0;0.0;5768294.0
1057532-5016-SE25;2;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;Adquisición 8 cupos Día Hogar Protegido para hombres para el Servicio de Salud Osorno en la Provincia de Osorno” (RES EXENTA N°17422/29.12.2023;Adquisición 8 cupos Día Hogar Protegido para hombres para el Servicio de Salud Osorno en la Provincia de Osorno” (RES EXENTA N°17422/29.12.2023// CATEGORIA 3 (1 usuario);31.0;;60000.0;0.0;1860000.0
1057532-5055-AG25;1;51241200;Medicamentos y productos farmacéuticos / Medicamentos para los oídos, ojos, nariz y piel / Agentes dermatológicos;51241201;Ácido salicílico;Ácido salicílico 16,7% + Ácido Láctico 15% en colodión frasco 14-20 ml, vencimiento igual o superior a 12 meses. Las ofertas que no cumplan con lo solicitado, se declararan inadmisible.;Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 48 a 72 horas- monto mínimo de despacho $ 50.000.- Cotización valida por 15 días.;12.0;;18179.0;0.0;0.0
1057532-5055-AG25;2;73101700;Servicios de producción y fabricación industrial / Industrias de plásticos y productos químicos / Producción farmacéutica;73101701;Servicios de producción de medicamentos o medicinas;Adapaleno 0,1% gel tópico tubo 15-30 g, vencimiento igual o superior a 12 meses. Las ofertas que no cumplan con lo solicitado, se declararan inadmisible.;Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 48 a 72 horas- monto mínimo de despacho $ 50.000.- Cotización valida por 15 días.;10.0;;17744.0;0.0;0.0
