Nivel,Concepto Presupuestario,Ley de Presupuestos,Requerimiento,_col_4,Saldo por Aplicar,_col_6,Compromiso,Saldo por Comprometer,Devengado,Saldo por Devengar,Efectivo,Deuda Flotante,Ruta_Jerarquica,Establecimiento,Fecha
1,21 GASTOS EN PERSONAL,19968585790.0,1651839287.0,,18316746503.0,,1651790312.0,48975.0,1651790312.0,0.0,1651790312.0,0.0,21 GASTOS EN PERSONAL,1638001 Direccion del Servicio,enero 2024
2,2101 Personal de Planta,0.0,228569225.0,,-228569225.0,,228520251.0,48974.0,228520251.0,0.0,228520251.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta,1638001 Direccion del Servicio,enero 2024
3,2101001 Sueldos y Sobresueldos,0.0,207041426.0,,-207041426.0,,207041425.0,1.0,207041425.0,0.0,207041425.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos,1638001 Direccion del Servicio,enero 2024
4,2101001001 Sueldos Bases,0.0,47182151.0,,-47182151.0,,47182150.0,1.0,47182150.0,0.0,47182150.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases,1638001 Direccion del Servicio,enero 2024
5,210100100101 Sueldo B Planta L 15076,0.0,1.0,,-1.0,,0.0,1.0,0.0,0.0,0.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases > 210100100101 Sueldo B Planta L 15076,1638001 Direccion del Servicio,enero 2024
5,210100100102 Sueldos B Planta L 18834,0.0,46529202.0,,-46529202.0,,46529202.0,0.0,46529202.0,0.0,46529202.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases > 210100100102 Sueldos B Planta L 18834,1638001 Direccion del Servicio,enero 2024
5,210100100103 Sueldos B Planta L 19664,0.0,652948.0,,-652948.0,,652948.0,0.0,652948.0,0.0,652948.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases > 210100100103 Sueldos B Planta L 19664,1638001 Direccion del Servicio,enero 2024
4,2101001002 Asignación de Antigüedad,0.0,588129.0,,-588129.0,,588129.0,0.0,588129.0,0.0,588129.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001002 Asignación de Antigüedad,1638001 Direccion del Servicio,enero 2024
5,210100100201 Asig Ant Quinq Y Trienios Planta L 15076,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001002 Asignación de Antigüedad > 210100100201 Asig Ant Quinq Y Trienios Planta L 15076,1638001 Direccion del Servicio,enero 2024
5,210100100202 Asig Ant Bienios Planta L 18834,0.0,157183.0,,-157183.0,,157183.0,0.0,157183.0,0.0,157183.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001002 Asignación de Antigüedad > 210100100202 Asig Ant Bienios Planta L 18834,1638001 Direccion del Servicio,enero 2024
5,210100100203 Asig Ant Trienios Planta L 19664,0.0,430946.0,,-430946.0,,430946.0,0.0,430946.0,0.0,430946.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001002 Asignación de Antigüedad > 210100100203 Asig Ant Trienios Planta L 19664,1638001 Direccion del Servicio,enero 2024
4,2101001003 Asignación Profesional,0.0,23832177.0,,-23832177.0,,23832177.0,0.0,23832177.0,0.0,23832177.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001003 Asignación Profesional,1638001 Direccion del Servicio,enero 2024
5,210100100301 Asig Prof Planta L 15076,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001003 Asignación Profesional > 210100100301 Asig Prof Planta L 15076,1638001 Direccion del Servicio,enero 2024
5,210100100302 Asig Prof Planta L 18834,0.0,23832177.0,,-23832177.0,,23832177.0,0.0,23832177.0,0.0,23832177.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001003 Asignación Profesional > 210100100302 Asig Prof Planta L 18834,1638001 Direccion del Servicio,enero 2024
4,2101001004 Asignación de Zona,0.0,10033610.0,,-10033610.0,,10033610.0,0.0,10033610.0,0.0,10033610.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001004 Asignación de Zona,1638001 Direccion del Servicio,enero 2024
5,210100100401 Asig Zona Planta L 15076,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001004 Asignación de Zona > 210100100401 Asig Zona Planta L 15076,1638001 Direccion del Servicio,enero 2024
5,210100100402 Asig Zona Planta L 18834,0.0,9771124.0,,-9771124.0,,9771124.0,0.0,9771124.0,0.0,9771124.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001004 Asignación de Zona > 210100100402 Asig Zona Planta L 18834,1638001 Direccion del Servicio,enero 2024
5,210100100403 Asig Zona Planta L 19664,0.0,262486.0,,-262486.0,,262486.0,0.0,262486.0,0.0,262486.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001004 Asignación de Zona > 210100100403 Asig Zona Planta L 19664,1638001 Direccion del Servicio,enero 2024
4,2101001005 Asignación de Rancho,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001005 Asignación de Rancho,1638001 Direccion del Servicio,enero 2024
4,"2101001006 Asignaciones del DL N ° 2.411, de 1978",0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,"21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001006 Asignaciones del DL N ° 2.411, de 1978",1638001 Direccion del Servicio,enero 2024
