Nivel,Concepto Presupuestario,Ley de Presupuestos,Requerimiento,_col_4,Saldo por Aplicar,_col_6,Compromiso,Saldo por Comprometer,Devengado,Saldo por Devengar,Efectivo,Deuda Flotante,Ruta_Jerarquica,Establecimiento,Fecha
1,21 GASTOS EN PERSONAL,67721302443.0,5686688445.0,,62034613998.0,,5661846048.0,24842397.0,5661846048.0,0.0,5661846048.0,0.0,21 GASTOS EN PERSONAL,1638002 Hospital de Osorno,enero 2024
2,2101 Personal de Planta,0.0,1688722474.0,,-1688722474.0,,1664140655.0,24581819.0,1664140655.0,0.0,1664140655.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta,1638002 Hospital de Osorno,enero 2024
3,2101001 Sueldos y Sobresueldos,0.0,1503198502.0,,-1503198502.0,,1488077164.0,15121338.0,1488077164.0,0.0,1488077164.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos,1638002 Hospital de Osorno,enero 2024
4,2101001001 Sueldos Bases,0.0,314221050.0,,-314221050.0,,314221050.0,0.0,314221050.0,0.0,314221050.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases,1638002 Hospital de Osorno,enero 2024
5,210100100101 Sueldo B Planta L 15076,0.0,7344117.0,,-7344117.0,,7344117.0,0.0,7344117.0,0.0,7344117.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases > 210100100101 Sueldo B Planta L 15076,1638002 Hospital de Osorno,enero 2024
5,210100100102 Sueldos B Planta L 18834,0.0,286024409.0,,-286024409.0,,286024409.0,0.0,286024409.0,0.0,286024409.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases > 210100100102 Sueldos B Planta L 18834,1638002 Hospital de Osorno,enero 2024
5,210100100103 Sueldos B Planta L 19664,0.0,20852524.0,,-20852524.0,,20852524.0,0.0,20852524.0,0.0,20852524.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001001 Sueldos Bases > 210100100103 Sueldos B Planta L 19664,1638002 Hospital de Osorno,enero 2024
4,2101001002 Asignación de Antigüedad,0.0,47095685.0,,-47095685.0,,33083452.0,14012233.0,33083452.0,0.0,33083452.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001002 Asignación de Antigüedad,1638002 Hospital de Osorno,enero 2024
5,210100100201 Asig Ant Quinq Y Trienios Planta L 15076,0.0,11654555.0,,-11654555.0,,11654555.0,0.0,11654555.0,0.0,11654555.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001002 Asignación de Antigüedad > 210100100201 Asig Ant Quinq Y Trienios Planta L 15076,1638002 Hospital de Osorno,enero 2024
5,210100100202 Asig Ant Bienios Planta L 18834,0.0,21679556.0,,-21679556.0,,7667323.0,14012233.0,7667323.0,0.0,7667323.0,0.0,21 GASTOS EN PERSONAL > 2101 Personal de Planta > 2101001 Sueldos y Sobresueldos > 2101001002 Asignación de Antigüedad > 210100100202 Asig Ant Bienios Planta L 18834,1638002 Hospital de Osorno,enero 2024
